#,RefDes,Value,Name,Manufacturer,Part Number (Digi-Key),Pattern,Datasheet
1,B801,,BK-883,MPD,BK-883-ND,MPD_BK-883,http://datasheets.diptrace.com/con_batteries/bk-883.pdf
2,C101,.1 uF X7R 0603,CAP 0.1 uF 0603,Yageo CC0603KPX7R7BB104,,CAP_0603,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf
3,C102,.1 uF X7R 0603,CAP 0.1 uF 0603,Yageo CC0603KPX7R7BB104,,CAP_0603,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf
4,C103,.1 uF X7R 0603,CAP 0.1 uF 0603,Yageo CC0603KPX7R7BB104,,CAP_0603,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf
5,C104,.1 uF X7R 0603,CAP 0.1 uF 0603,Yageo CC0603KPX7R7BB104,,CAP_0603,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf
6,C105,120 uF X7R 0805,120 uF X7R 0805,KEMET C0805C122K5RACTU,399-8018-1-ND,CAP_0805,
7,C106,.1 uF X7R 0603,CAP 0.1 uF 0603,Yageo CC0603KPX7R7BB104,,CAP_0603,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf
8,C201,.1 uF X7R 0603,CAP 0.1 uF 0603,Yageo CC0603KPX7R7BB104,,CAP_0603,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf
9,C202,10uF 35V 4.3mm,10 uF 35V 4.3mm,Panasonic EEE-1CA100SR,PCE3878CT-ND,CAP_0805,"https://media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf"
10,C203,.1 uF X7R 0603,CAP 0.1 uF 0603,Yageo CC0603KPX7R7BB104,,CAP_0603,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf
11,C204,.1 uF X7R 0603,CAP 0.1 uF 0603,Yageo CC0603KPX7R7BB104,,CAP_0603,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf
12,C205,10uF 35V 4.3mm,10 uF 35V 4.3mm,Panasonic EEE-1CA100SR,PCE3878CT-ND,CAP_0805,"https://media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/S_Series,Type_V_Rev2018.pdf"
13,C301,10 uF 10V X7R 0805,10 uF 10V X7R 0805,Murata GRM033R71A103KA01J,490-6143-1-ND,CAP_0805,
14,C302,10 uF 10V X7R 0805,10 uF 10V X7R 0805,Murata GRM033R71A103KA01J,490-6143-1-ND,CAP_0805,
15,C303,10 uF 10V X7R 0805,10 uF 10V X7R 0805,Murata GRM033R71A103KA01J,490-6143-1-ND,CAP_0805,
