"#","RefDes","Value","Name","Manufacturer","Part Number (Digi-Key)","Quantity"
"1","B801","","BK-883","MPD","BK-883-ND","1"
"2","C1","10PF 100V C0G","CAP 10PF 100V C0G/NP0","KEMET C0603C100J1GACTU","399-7816-1-ND","1"
"3","C2","10PF 100V C0G","CAP 10PF 100V C0G/NP0","KEMET C0603C100J1GACTU","399-7816-1-ND","1"
"4","C3","CAP CER 18PF 50V C0G/NP0","CAP 18PF 50V C0G/NP0","Kemet C0603C180J5GACTU","399-1052-1-ND","1"
"5","C4","CAP CER 18PF 50V C0G/NP0","CAP 18PF 50V C0G/NP0","Kemet C0603C180J5GACTU","399-1052-1-ND","1"
"6","C101",".1 uF X7R 0603","CAP 0.1 uF 0603","Yageo CC0603KPX7R7BB104","","1"
"7","C102",".1 uF X7R 0603","CAP 0.1 uF 0603","Yageo CC0603KPX7R7BB104","","1"
"8","C103",".1 uF X7R 0603","CAP 0.1 uF 0603","Yageo CC0603KPX7R7BB104","","1"
"9","C104",".120 uF 25V X7R 0805",".120 uF X7R 0805","AVX 08053C124KAT2A","478-5161-6-ND","1"
"10","C105",".1 uF X7R 0603","CAP 0.1 uF 0603","Yageo CC0603KPX7R7BB104","","1"
"11","C106",".1 uF X7R 0603","CAP 0.1 uF 0603","Yageo CC0603KPX7R7BB104","","1"
"12","C201",".1 uF X7R 0603","CAP 0.1 uF 0603","Yageo CC0603KPX7R7BB104","","0"
"13","C202","10uF 35V 4.3mm","10 uF 35V 4.3mm","Panasonic EEE-1CA100SR","PCE3878CT-ND","0"
"14","C203",".1 uF X7R 0603","CAP 0.1 uF 0603","Yageo CC0603KPX7R7BB104","","0"
"15","C204",".1 uF X7R 0603","CAP 0.1 uF 0603","Yageo CC0603KPX7R7BB104","","0"
"16","C205","10uF 35V 4.3mm","10 uF 35V 4.3mm","Panasonic EEE-1CA100SR","PCE3878CT-ND","0"
"17","C301","10 uF 10V X7R 0805","10 uF 10V X7R 0805","Murata GRM033R71A103KA01J","490-6143-1-ND","1"
"18","C302","10 uF 10V X7R 0805","10 uF 10V X7R 0805","Murata GRM033R71A103KA01J","490-6143-1-ND","1"
"19","C303","10 uF 10V X7R 0805","10 uF 10V X7R 0805","Murata GRM033R71A103KA01J","490-6143-1-ND","1"
"20","C304","10 uF 10V X7R 0805","10 uF 10V X7R 0805","Murata GRM033R71A103KA01J","490-6143-1-ND","1"
"21","C306",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1"
"22","C307",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1"
"23","C308",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1"
"24","C309",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1"
"25","C311","22uF","22uF","Panasonic EEE-1VA2R2NR","PCE4295CT-ND","1"
"26","C401",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1"
"27","C402",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1"
"28","C403",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1"
"29","C404",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1"
"30","C405",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1"
"31","C501",".1 uF X7R 0603","CAP 0.1 uF 0603","Yageo CC0603KPX7R7BB104","","1"
"32","C502","4.7 nF / 1kV Ceramic","4.7 nF / 1kV Ceramic","KEMET C0805C472KDRACTU","399-6738-1-ND","1"
"33","C601",".1 uF X7R 0603","CAP 0.1 uF 0603","Yageo CC0603KPX7R7BB104","","1"
"34","C602",".1 uF X7R 0603","CAP 0.1 uF 0603","Yageo CC0603KPX7R7BB104","","1"
"35","C701",".1 uF X7R 0603","CAP 0.1 uF 0603","Yageo CC0603KPX7R7BB104","","1"
"36","C702","6.8 nF X7R 0603","6.8 nF X7R 0603","Wurth 885012206013","732-7932-1-ND","1"
"37","C703",".120 uF 25V X7R 0805",".120 uF X7R 0805","AVX 08053C124KAT2A","478-5161-6-ND","1"
"38","C704",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1"
"39","C801",".1 uF X7R 0603","CAP 0.1 uF 0603","Yageo CC0603KPX7R7BB104","","1"
"40","C802","10PF 100V C0G","CAP 10PF 100V C0G/NP0","KEMET C0603C100J1GACTU","399-7816-1-ND","1"
"41","C803","10PF 100V C0G","CAP 10PF 100V C0G/NP0","KEMET C0603C100J1GACTU","399-7816-1-ND","1"
"42","C901",".1 uF X7R 0603",".1 uF X7R 0603","Yageo CC0603KPX7R7BB104","","1"
"43","D301","","WS2812B","","","1"
"44","D302","","WS2812B","","","1"
"45","D303","","WS2812B","","","1"
"46","D304","","WS2812B","","","1"
"47","D306","","APA3010CGCK-GX","Kingbright","754-1580-6-ND","1"
"48","D501","","PRTR5V0U2X,215","Philips/NXP","1727-3884-6-ND","1"
"49","J101","","0901310125","Molex","WM8123-ND","1"
"50","J102","","0713085406","Molex","0713085406-ND","1"
"51","J201","DNP","Bat Connector","","","0"
"52","J501","","FTS-105-01-L-DV","Samtec","SAM1157-05-ND","1"
